来源编号,学校名称,城市,学校类型,是否重点监控,来源名称,来源类型,来源链接,主要关注内容,建议查看频率,最后检查日期,当前状态,备注
SRC-001-R,河南大学,开封,普通本科,是,人才人事部招聘公告,招聘/通知入口；人事/人才工作网站,https://rsc.henu.edu.cn/,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,页面含人才招聘与招聘公告
SRC-001-W,河南大学,开封,普通本科,是,官方微信公众号,官方微信公众号,,招聘动态,每周2次,2026-09-06,待核验,未可靠确认认证主体
SRC-002-R,郑州大学,郑州,普通本科,是,人事部招聘信息,招聘/通知入口,https://www5.zzu.edu.cn/rsc/index/zpxx.htm,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官方人事部招聘信息栏目
SRC-002-H,郑州大学,郑州,普通本科,是,人事部,人事/人才工作网站,https://www5.zzu.edu.cn/rsc/,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官方人事部网站
SRC-002-W,郑州大学,郑州,普通本科,是,官方微信公众号,官方微信公众号,,招聘动态,每周2次,2026-09-06,待核验,未可靠确认认证主体
SRC-003-R,河南师范大学,新乡,普通本科,是,人事处招聘信息,招聘/通知入口,https://www.htu.edu.cn/rsc/_t678/1595/list.htm,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官方人事处招聘信息栏目
SRC-003-H,河南师范大学,新乡,普通本科,是,人事处党委教师工作部,人事/人才工作网站,https://www.htu.edu.cn/rsc/_t614/main.htm,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官方人事处网站
SRC-003-W,河南师范大学,新乡,普通本科,是,官方微信公众号,官方微信公众号,,招聘动态,每周2次,2026-09-06,待核验,未可靠确认认证主体
SRC-004-R,河南农业大学,郑州,普通本科,是,人事处招聘信息,招聘/通知入口,https://rs.henau.edu.cn/rczp1/zpxx/10.htm,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官方人事处招聘信息栏目
SRC-004-H,河南农业大学,郑州,普通本科,是,人事处,人事/人才工作网站,https://rs.henau.edu.cn/,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官方人事处网站
SRC-004-W,河南农业大学,郑州,普通本科,是,官方微信公众号,官方微信公众号,,招聘动态,每周2次,2026-09-06,待核验,未可靠确认认证主体
SRC-005-R,河南理工大学,焦作,普通本科,是,人事处招聘信息,招聘/通知入口,https://www6.hpu.edu.cn/rsc/zpxx.htm,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官方人事处招聘信息栏目
SRC-005-H,河南理工大学,焦作,普通本科,是,党委教师工作部人事处,人事/人才工作网站,https://www6.hpu.edu.cn/rsc/,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官方人事处网站
SRC-005-W,河南理工大学,焦作,普通本科,是,官方微信公众号,官方微信公众号,,招聘动态,每周2次,2026-09-06,待核验,未可靠确认认证主体
SRC-006-R,河南科技大学,洛阳,普通本科,是,人事工作部招聘公告,招聘/通知入口；人事/人才工作网站,https://rsc.haust.edu.cn/,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,首页设招聘公告栏目
SRC-006-W,河南科技大学,洛阳,普通本科,是,官方微信公众号,官方微信公众号,,招聘动态,每周2次,2026-09-06,待核验,未可靠确认认证主体
SRC-007-R,河南工业大学,郑州,普通本科,是,人事处人才招聘,招聘/通知入口,https://rsc.haut.edu.cn/rczp.htm,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官方人事处人才招聘栏目
SRC-007-H,河南工业大学,郑州,普通本科,是,人事处,人事/人才工作网站,https://rsc.haut.edu.cn/,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官方人事处网站
SRC-007-W,河南工业大学,郑州,普通本科,是,官方微信公众号,官方微信公众号,,招聘动态,每周2次,2026-09-06,待核验,未可靠确认认证主体
SRC-008-R,河南中医药大学,郑州,普通本科,是,学校官网招聘公告,招聘/通知入口,https://www.hactcm.edu.cn/info/1024/426774.htm,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官网发布的人才招聘公告
SRC-008-H,河南中医药大学,郑州,普通本科,是,党委教师工作部人事人才工作部教师发展中心,人事/人才工作网站,https://zzrs.hactcm.edu.cn/,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官方人事人才工作网站
SRC-008-T,河南中医药大学,郑州,普通本科,是,人才招聘报名系统,官方招聘系统,https://rsfw.hactcm.edu.cn/,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官网招聘公告明确列出的报名入口
SRC-008-W,河南中医药大学,郑州,普通本科,是,官方微信公众号,官方微信公众号,,招聘动态,每周2次,2026-09-06,待核验,未可靠确认认证主体
SRC-009-R,河南财经政法大学,郑州,普通本科,是,人力资源部招聘公告,招聘/通知入口,https://rsc.huel.edu.cn/rczp/zpgg.htm,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官方人力资源部招聘公告栏目
SRC-009-H,河南财经政法大学,郑州,普通本科,是,人力资源部,人事/人才工作网站,https://rsc.huel.edu.cn/index.htm,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官方人力资源部网站
SRC-009-W,河南财经政法大学,郑州,普通本科,是,官方微信公众号,官方微信公众号,,招聘动态,每周2次,2026-09-06,待核验,未可靠确认认证主体
SRC-010-R,郑州轻工业大学,郑州,普通本科,是,人事处招聘信息,招聘/通知入口,https://rsc.zzuli.edu.cn/2815/list.htm,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官方人事处招聘信息栏目
SRC-010-H,郑州轻工业大学,郑州,普通本科,是,党委教师工作部人事处教师发展中心,人事/人才工作网站,https://rsc.zzuli.edu.cn/,辅导员/教师/人才引进,每周2次,2026-09-06,已核验,官方人事处网站
SRC-010-W,郑州轻工业大学,郑州,普通本科,是,官方微信公众号,官方微信公众号,,招聘动态,每周2次,2026-09-06,待核验,未可靠确认认证主体
